word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
,-,adjective,,,Es ist sehr null.,Это очень null.,Це дуже null.,
Abend,der,noun,вечер,вечір,Wir sehen uns heute Abend.,Увидимся сегодня вечером.,Побачимось сьогодні ввечері.,time
Adresse,die,noun,адрес,адреса,Schicken Sie mir bitte Ihre Adresse.,"Пришлите, пожалуйста, ваш адрес.","Надішліть, будь ласка, вашу адресу.",city
Alles klar,-,phrase,всё ясно,все зрозуміло,"Alles klar, danke.","Всё ясно, спасибо.","Все зрозуміло, дякую.",
"Am Montag, am Wochenende",-,phrase,,,"Am Montag, am Wochenende.",,,
"Am Morgen, am Abend, am Wochenende",-,phrase,,,"Am Morgen, am Abend, am Wochenende.",,,
Anruf,der,noun,звонок,дзвінок,Ich bekomme später einen Anruf.,Позже у меня будет звонок.,Пізніше у мене буде дзвінок.,other
Antwort,die,noun,ответ,відповідь,Danke für Ihre schnelle Antwort.,Спасибо за быстрый ответ.,Дякую за швидку відповідь.,other
Apfel,der,noun,яблоко,яблуко,Ich esse jeden Tag einen Apfel.,Я ем яблоко каждый день.,Я щодня їм яблуко.,food
Apotheke,die,noun,аптека,аптека,Die Apotheke macht um acht auf.,Аптека открывается в восемь.,Аптека відкривається о восьмій.,health|city
April,der,noun,апрель,квітень,Im April regnet es oft.,В апреле часто идёт дождь.,У квітні часто йде дощ.,time
Arbeit,die,noun,работа,робота,Ich gehe gleich zur Arbeit.,Я сейчас иду на работу.,Я зараз іду на роботу.,study
Arm,der,noun,рука,рука,Mein Arm tut heute ein bisschen weh.,Моя рука сегодня немного болит.,Моя рука сьогодні трохи болить.,health
Auf Wiedersehen,-,phrase,до свидания,до побачення,Auf Wiedersehen und einen schönen Tag.,До свидания и хорошего дня.,До побачення і гарного дня.,
Aufgabe,die,noun,задание,завдання,Die Aufgabe ist nicht schwer.,Задание несложное.,Завдання не складне.,study
August,der,noun,август,серпень,Im August fahren viele in Urlaub.,В августе многие едут в отпуск.,У серпні багато хто їде у відпустку.,time
Auskunft,die,noun,справка,довідка,Fragen Sie an der Auskunft nach.,Спросите на стойке информации.,Запитайте на стійці інформації.,city
Ausweis,der,noun,удостоверение,посвідчення,Ich habe meinen Ausweis dabei.,У меня с собой удостоверение.,У мене з собою посвідчення.,other
Automat,der,noun,автомат,автомат,Der Automat nimmt nur Münzen.,Автомат принимает только монеты.,Автомат приймає лише монети.,city
Bad,das,noun,ванная,ванна,Das Bad ist im ersten Stock.,Ванная на первом этаже.,Ванна на першому поверсі.,home
Bahnhof,der,noun,вокзал,вокзал,Wir treffen uns am Bahnhof.,Встречаемся на вокзале.,Зустрічаємося на вокзалі.,transport|city
Ball,der,noun,мяч,м’яч,Der Ball liegt im Garten.,Мяч лежит в саду.,М’яч лежить у саду.,other
Banane,die,noun,банан,банан,Die Banane ist schon reif.,Банан уже спелый.,Банан уже стиглий.,food
Bank,die,noun,банк,банк,Ich muss heute zur Bank.,Мне сегодня нужно в банк.,Мені сьогодні потрібно в банк.,city
Basketball,der,noun,баскетбол,баскетбол,Am Abend spielen wir Basketball.,Вечером мы играем в баскетбол.,Ввечері ми граємо в баскетбол.,other
Bett,das,noun,кровать,ліжко,Ich gehe früh ins Bett.,Я рано ложусь спать.,Я рано лягаю спати.,home
Bier,das,noun,пиво,пиво,"Ein kaltes Bier, bitte.","Холодное пиво, пожалуйста.","Холодне пиво, будь ласка.",food
Bild,das,noun,картинка,картинка,Das Bild hängt an der Wand.,Картинка висит на стене.,Картинка висить на стіні.,home
Bis bald,-,phrase,до скорого,до скорого,Bis bald und gute Reise!,До скорого и хорошей дороги!,До скорого і гарної дороги!,transport
Bis später,-,phrase,,,Bis später.,,,
Bitte,-,phrase,пожалуйста,будь ласка,"Eine Tüte, bitte.","Пакет, пожалуйста.","Пакет, будь ласка.",
Bitte schön!,-,phrase,,,Bitte schön!.,,,
Bleistift,der,noun,карандаш,олівець,Hast du einen Bleistift für mich.,У тебя есть карандаш для меня.,У тебе є олівець для мене.,study
Blume,die,noun,цветок,квітка,Die Blume riecht sehr gut.,Цветок очень приятно пахнет.,Квітка дуже добре пахне.,other
Brille,die,noun,очки,окуляри,Ich finde meine Brille nicht.,Я не могу найти свои очки.,Я не можу знайти свої окуляри.,health
Brot,das,noun,хлеб,хліб,Ich kaufe noch frisches Brot.,Куплю ещё свежий хлеб.,Куплю ще свіжий хліб.,food
Butter,die,noun,масло,масло,Bitte reich mir die Butter.,"Передай, пожалуйста, масло.","Передай, будь ласка, масло.",food
Bäckerei,die,noun,пекарня,пекарня,Die Bäckerei hat frisches Brot.,В пекарне есть свежий хлеб.,У пекарні є свіжий хліб.,city|food
CD,die,noun,диск,диск,Ich höre die neue CD im Auto.,Я слушаю новый диск в машине.,Я слухаю новий диск у машині.,other
Cent,der,noun,цент,цент,Das kostet zehn Cent.,Это стоит десять цент.,Це коштує десять цент.,other
Chef,der,noun,шеф,шеф,Der Chef ist heute im Büro.,Шеф сегодня в офисе.,Шеф сьогодні в офісі.,study
Computer,der,noun,компьютер,комп’ютер,Der Computer startet langsam.,Компьютер запускается медленно.,Комп’ютер запускається повільно.,study
Couch,die,noun,диван,диван,Wir sitzen zusammen auf der Couch.,Мы сидим вместе на диване.,Ми сидимо разом на дивані.,home
Dank,der,noun,благодарность,подяка,Vielen Dank für Ihre Hilfe.,Большое спасибо за помощь.,Дуже дякую за допомогу.,other
Danke,-,phrase,спасибо,дякую,Danke für Ihre Hilfe.,Спасибо за вашу помощь.,Дякую за вашу допомогу.,
Darf ich,-,phrase,,,Darf ich.,,,
Dezember,der,noun,декабрь,грудень,Im Dezember ist es kalt.,В декабре холодно.,У грудні холодно.,time
"Die Rechnung, bitte",-,phrase,"счёт, пожалуйста","рахунок, будь ласка","Die Rechnung, bitte. Danke.","Счёт, пожалуйста. Спасибо.","Рахунок, будь ласка. Дякую.",city|food
Dienstag,der,noun,вторник,вівторок,Der Termin ist am Dienstag.,Встреча во вторник.,Зустріч у вівторок.,time
Disco,die,noun,дискотека,дискотека,Heute Abend gehen wir in die Disco.,Сегодня вечером идём на дискотеку.,Сьогодні ввечері йдемо на дискотеку.,city
Dollar,der,noun,доллар,долар,Das kostet zehn Dollar.,Это стоит десять доллар.,Це коштує десять долар.,other
Donnerstag,der,noun,четверг,четвер,Der Kurs ist am Donnerstag.,Курс проходит по четвергам.,Курс у четвер.,time
Dusche,die,noun,душ,душ,Die Dusche funktioniert wieder.,Душ снова работает.,Душ знову працює.,home
E-Mail,die,noun,электронная почта,електронна пошта,Ich schreibe dir gleich eine E‑Mail.,Я сейчас напишу тебе письмо.,Зараз напишу тобі листа.,other
"Einen Kaffee, bitte",-,phrase,"кофе, пожалуйста","каву, будь ласка","Einen Kaffee, bitte. Ohne Zucker.","Кофе, пожалуйста. Без сахара.","Каву, будь ласка. Без цукру.",food
"Einen Moment, bitte",-,phrase,"минуточку, пожалуйста","хвилинку, будь ласка","Einen Moment, bitte. Ich komme gleich.","Минуточку, пожалуйста. Я сейчас приду.","Хвилинку, будь ласка. Я зараз прийду.",
Eintritt,der,noun,вход,вхід,Der Eintritt kostet fünf Euro.,Вход стоит пять евро.,Вхід коштує п’ять євро.,city
Eis,das,noun,мороженое,морозиво,Die Kinder möchten Eis essen.,Дети хотят мороженое.,Діти хочуть морозиво.,food
Eltern,die,noun,родители,батьки,Meine Eltern wohnen in Köln.,Мои родители живут в Кёльне.,Мої батьки живуть у Кельні.,family
Entschuldigung,die,noun,извинение,вибачення,"Entschuldigung, ich komme zu spät.","Извините, я опоздал.","Вибачте, я запізнився.",other
Entschuldigung,-,phrase,извините,вибачте,"Entschuldigung, wo ist die Toilette?","Извините, где туалет?","Вибачте, де туалет?",city
"Entschuldigung, ich suche",-,phrase,,,"Entschuldigung, ich suche.",,,
