word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
"Am Montag, am Wochenende",-,phrase,"В понедельник, на выходных","У понедельок, на вихідних","Am Montag arbeite ich, am Wochenende nicht.","В понедельник я работаю, на выходных нет.","У понедельок я працюю, на вихідних ні.",time
"Bitte schön!",-,phrase,"Пожалуйста! (в ответ на спасибо)","Будь ласка! (у відповідь на дякую)","Bitte schön!","Пожалуйста!","Будь ласка!",phrases
"Einen Moment, bitte",-,phrase,"Одну минуту, пожалуйста","Одну хвилину, будь ласка","Einen Moment, bitte. Ich komme gleich.","Одну минуту, пожалуйста. Я сейчас приду.","Одну хвилину, будь ласка. Я зараз прийду.",phrases
"Entschuldigung, ich suche",-,phrase,"Извините, я ищу","Вибачте, я шукаю","Entschuldigung, ich suche den Bahnhof.","Извините, я ищу вокзал.","Вибачте, я шукаю вокзал.",phrases
"Es ist kalt",-,phrase,Холодно,Холодно,"Es ist kalt heute.","Сегодня холодно.","Сьогодні холодно.",weather
"Es ist warm",-,phrase,Тепло,Тепло,"Es ist warm draußen.","На улице тепло.","На вулиці тепло.",weather
"Es ist windig",-,phrase,Ветрено,Вітряно,"Es ist windig heute.","Сегодня ветрено.","Сьогодні вітряно.",weather
"Es regnet",-,phrase,"Идёт дождь","Йде дощ","Es regnet stark.","Идёт сильный дождь.","Йде сильний дощ.",weather
"Es schneit",-,phrase,"Идёт снег","Йде сніг","Es schneit im Winter.","Зимой идёт снег.","Взимку йде сніг.",weather
"Freut mich!",-,phrase,"Приятно познакомиться!","Приємно познайомитися!","Freut mich! Ich bin Anna.","Приятно познакомиться! Я Анна.","Приємно познайомитися! Я Анна.",phrases
"Geradeaus, dann links",-,phrase,"Прямо, потом налево","Прямо, потім ліворуч","Gehen Sie geradeaus, dann links.","Идите прямо, потом налево.","Йдіть прямо, потім ліворуч.",city
Gesundheit!,-,phrase,"Будь здоров! (при чихании)","Будь здоровий! (при чханні)","Gesundheit!","Будь здоров!","Будь здоровий!",phrases
"Hallo, hier spricht",-,phrase,"Алло, это говорит","Алло, це говорить","Hallo, hier spricht Maria.","Алло, это говорит Мария.","Алло, це говорить Марія.",phrases
"Heute, morgen, übermorgen",-,phrase,"Сегодня, завтра, послезавтра","Сьогодні, завтра, післязавтра","Heute, morgen, übermorgen - drei Tage.","Сегодня, завтра, послезавтра - три дня.","Сьогодні, завтра, післязавтра - три дні.",time
"Ich denke",-,phrase,Я думаю,Я думаю,"Ich denke, das ist gut.","Я думаю, это хорошо.","Я думаю, це добре.",phrases
"Ich finde",-,phrase,"Я считаю, я нахожу","Я вважаю, я знаходжу","Ich finde das interessant.","Я считаю это интересным.","Я вважаю це цікавим.",phrases
