word_de,article,pos,translation_ru,translation_uk,example_de,example_ru,example_uk,categories
"Bis später",-,phrase,"До скорой встречи","До зустрічі","Bis später! Tschüss!","До скорой встречи! Пока!","До зустрічі! Бувай!",phrases
"Darf ich",-,phrase,"Можно мне","Можна мені","Darf ich reinkommen?","Можно мне войти?","Можна мені увійти?",phrases
"Es ist",-,phrase,"Это","Це","Es ist zehn Uhr.","Сейчас десять часов.","Зараз десята година.",time
"Es ist Viertel nach",-,phrase,"Четверть после","Чверть по","Es ist Viertel nach drei.","Четверть четвёртого.","Чверть по третій.",time
"Es ist halb (acht)",-,phrase,"Половина (восьмого)","Половина (восьмої)","Es ist halb acht.","Половина восьмого.","Половина восьмої.",time
"Es tut mir leid",-,phrase,"Мне жаль","Мені шкода","Es tut mir leid, ich kann nicht.","Мне жаль, я не могу.","Мені шкода, я не можу.",phrases
Frühling,der,noun,весна,весна,"Im Frühling ist es warm.","Весной тепло.","Навесні тепло.",weather
"Grüß Gott",-,phrase,"Здравствуйте (юг Германии)","Добрий день (південь Німеччини)","Grüß Gott! Schönes Wetter!","Здравствуйте! Хорошая погода!","Добрий день! Гарна погода!",phrases
"Gut, danke",-,phrase,"Хорошо, спасибо","Добре, дякую","Wie geht's? – Gut, danke.","Как дела? – Хорошо, спасибо.","Як справи? – Добре, дякую.",phrases
Herbst,der,noun,осень,осінь,"Im Herbst fallen die Blätter.","Осенью опадают листья.","Восени опадає листя.",weather
"Hier bitte",-,phrase,"Вот, пожалуйста","Ось, будь ласка","Hier bitte, Ihr Kaffee.","Вот, пожалуйста, ваш кофе.","Ось, будь ласка, ваша кава.",phrases
"Ich bin Schüler",-,phrase,"Я ученик/ученица","Я учень/учениця","Ich bin Schüler, und du?","Я ученик, а ты?","Я учень, а ти?",study
"Ich bin glücklich",-,phrase,"Я счастлив/счастлива","Я щасливий/щаслива","Ich bin glücklich hier.","Я здесь счастлив.","Я тут щасливий.",phrases
"Ich bin krank",-,phrase,"Я болен/больна","Я хворий/хвора","Ich bin krank, ich bleibe zu Hause.","Я болею, остаюсь дома.","Я хворий, залишаюся вдома.",health
"Ich bin müde",-,phrase,"Я устал/устала","Я втомився/втомилася","Ich bin müde, ich gehe schlafen.","Я устал, иду спать.","Я втомився, іду спати.",phrases
"Ich hätte gern",-,phrase,"Я бы хотел/хотела","Я хотів би/хотіла би","Ich hätte gern einen Kaffee.","Я бы хотел кофе.","Я хотів би каву.",food
"Ich mag",-,phrase,"Мне нравится","Мені подобається","Ich mag Pizza sehr.","Мне очень нравится пицца.","Мені дуже подобається піца.",phrases
"Ich möchte gern",-,phrase,"Я хотел бы","Я хотів би","Ich möchte gern Deutsch lernen.","Я хотел бы учить немецкий.","Я хотів би вчити німецьку.",phrases
"Jahr – die Jahre",-,noun,"год – годы","рік – роки","Ein Jahr hat zwölf Monate.","В году двенадцать месяцев.","У році дванадцять місяців.",time
"Kannst du mir helfen?",-,phrase,"Можешь мне помочь?","Можеш мені допомогти?","Kannst du mir helfen? – Ja, klar!","Можешь мне помочь? – Да, конечно!","Можеш мені допомогти? – Так, звичайно!",phrases
"Können Sie bitte wiederholen?",-,phrase,"Не могли бы вы повторить?","Чи могли б ви повторити?","Können Sie bitte wiederholen?","Не могли бы вы повторить?","Чи могли б ви повторити?",phrases
Lehrer,der,noun,учитель,вчитель,"Mein Lehrer ist sehr gut.","Мой учитель очень хороший.","Мій вчитель дуже хороший.",study
"Monat – die Monate",-,noun,"месяц – месяцы","місяць – місяці","Ein Monat hat 30 Tage.","В месяце 30 дней.","У місяці 30 днів.",time
Norden,der,noun,север,північ,"Hamburg liegt im Norden.","Гамбург находится на севере.","Гамбург знаходиться на півночі.",city
Osten,der,noun,восток,схід,"Berlin liegt im Osten.","Берлин находится на востоке.","Берлін знаходиться на сході.",city
"Schönen Tag noch",-,phrase,"Хорошего дня","Гарного дня","Schönen Tag noch! Tschüss!","Хорошего дня! Пока!","Гарного дня! Бувай!",phrases
Sommer,der,noun,лето,літо,"Im Sommer ist es heiß.","Летом жарко.","Влітку спекотно.",weather
"Sonst noch etwas?",-,phrase,"Ещё что-нибудь?","Ще щось?","Sonst noch etwas? – Nein, danke.","Ещё что-нибудь? – Нет, спасибо.","Ще щось? – Ні, дякую.",food
"Sprechen Sie langsamer",-,phrase,"Говорите медленнее","Говоріть повільніше","Sprechen Sie bitte langsamer!","Говорите, пожалуйста, медленнее!","Говоріть, будь ласка, повільніше!",phrases
"Stimmt so",-,phrase,"Сдачи не нужно","Решти не треба","Hier sind 20 Euro. – Stimmt so!","Вот 20 евро. – Сдачи не нужно!","Ось 20 євро. – Решти не треба!",money
Süden,der,noun,юг,південь,"München liegt im Süden.","Мюнхен находится на юге.","Мюнхен знаходиться на півдні.",city
"Tag – die Tage",-,noun,"день – дни","день – дні","Ein Tag hat 24 Stunden.","В дне 24 часа.","У дні 24 години.",time
"Um 7 Uhr",-,phrase,"В 7 часов","О 7 годині","Wir treffen uns um 7 Uhr.","Встречаемся в 7 часов.","Зустрічаємося о 7 годині.",time
"Und dir?",-,phrase,"А у тебя?","А у тебе?","Wie geht's? – Gut. Und dir?","Как дела? – Хорошо. А у тебя?","Як справи? – Добре. А у тебе?",phrases
"Vielen Dank",-,phrase,"Большое спасибо","Дуже дякую","Vielen Dank für Ihre Hilfe!","Большое спасибо за помощь!","Дуже дякую за допомогу!",phrases
